"","V1","V2"
"1","Ett starkt EU är viktigare än någonsin.","liberalerna"
"2","Intervju med @bjorklundjan i @Expressen idag. Om varför vi inte samarbetar med SD och vad Jan har för smeknamn. Läs!","liberalerna"
"3","Under de senaste decennierna har den svenska skolan gått allt mer från traditionell katederundervisning till en mer progressiv, elevledd undervisning – trots att det går emot forskningen, skriver @isakskogstad.
https://www.dagenssamhalle.se/kronika/nar-ska-det-pedagogiska-experimentet-ta-slut-23200 … #skoltwitter #svpol","liberalerna"
"4","Försvarsmakten ","liberalerna"
"5","Hör om nya avhopp från #Polisen. Oerhört allvarligt och ett problem jag började lyfta våren 2015 i riksdagen. Regeringen har inte vidtagit någon åtgärder för att locka tillbaka poliser som slutat, L anser att detta har högsta prioritet #svpol","liberalerna"
"6","Idag hyllar vi Cecilia Malmström som idogt, skickligt och tålmodigt jobbat för handelsavtalet mellan EU och USA. Så gediget jobbat att själva Trumpen fick vika ned sig!","liberalerna"
"7","Inför #Pride skriver jag och partikollegan @OlofssonMorgan om hur vi behöver förstärka #Polisen och hela rättskedjans förmåga och kompetens att utreda hatbrott #svpol","liberalerna"
"8","Tysk kolkraft försörjer oss nu med el. Själva stänger Sverige ner fungerande kärnkraftverk. Märklig klimatpolitik från S o MP.","liberalerna"
"9","""I en tid då naturkatastrofer blir alltmer oförutsägbara är behovet av rescEU, ett system för att hjälpa EU:s medlemsländer, stort"", skriver @StylianidesEU på DN Debatt. http://ow.ly/gK1N30l8uyZ  #skogsbrand #EUCivPro #rescEU","liberalerna"
"10","Nu majoritet för ny folkomröstning om Brexit. Verkligheten har hunnit ikapp.","liberalerna"
"11","Kommer återigen artikeln om #straffrabatt för ungdomar samt @liberalerna kritik mot S hantering, blir inte lugnare när jag lyssnar på dagens #Ekot #svpol","liberalerna"
"12","Imponerande arbete av <U+2066>@MalmstromEU<U+2069>. I bästa fall är detta början på nedtrappning. Men Trump är oförutsägbar, fortsatt hårt tryck krävs från EU.","liberalerna"
"13","Sant som det var sagt: SD-nationalism släcker inga bränder - tack kloka @LarsTysklind @liberalerna","liberalerna"
"14","Idag rockar @lufvast kampanj i Askim, Alingsås och Uddevalla! Frihetens låga slocknar aldrig ","liberalerna"
"15","Den djupa kris som nu pågår visar att nationalstaternas tid är över. 
Inget enskilt EU-land kan klara av en stor naturkatastrof, skriver Europaparlamentariker @CeciliaWikstrom (L)","liberalerna"
"16","Påminner om min text nyligen @ExpressenDebatt med mitt krav sedan 1.5år som S regeringen viftar bort. De röstade ner motionen så sent som i juni 2018 #svpol #terrorism #IS https://www.expressen.se/debatt/is-atervandare-ska-omgaende-utredas-for-brott/ …","liberalerna"
"17","Läs gärna min & @FredrikMalm debattartikel om den inre marknadens 25-års jubileum. Tillsammans med Schengenavtalets slopande av gränserna inom EU utgör den inre marknaden en av de största politiska landvinningarna på vår kontinent i modern tid. https://www.ceciliawikstrom.eu/debattartikel-i-bla-ga-m-malm-l-utvecklingsmojligheter-for-inre-marknaden/ …","liberalerna"
"18","Alfabetet - på Liberalernas vis

https://m.facebook.com/story.php?story_fbid=10160603298275058&id=132266740623 … https://www.facebook.com/175183894567/posts/10156514365999568/ …","liberalerna"
"19","Samarbete lönar sig.","liberalerna"
"20","Det går över mitt förstånd att regeringen aldrig lär sig den grundläggande regeln för antagning: Fler platser utan fler sökande leder till sämre rustade studenter. Lycka till med att göra läraryrket till ""världens viktigaste"". Pust.","liberalerna"
"21","Liberal skolpolitik i praktiken.","liberalerna"
"22","Sedan 2015 driver @liberalerna i riksdagen att #beredskapspolisen borde återinsättas, även i fredstid. Vi avsätter också resurser för detta budgetförslag. Med tanke på  polisbrist, behovet av ökad förmåga tex vid #skogsbrand hade detta varit ett viktigt komplement. #svpol","liberalerna"
